time,31S,32S,33S,34S,34X,35S,36S,CRP,DAP,DEF,DXD,DXT,MDM,MTU,MVP,NAP,NDE,NXA,ODG,TCG
2020-01-01,-1.3,-2.8,0.1,-0.1,-15.2,-1.2,22.1,-4.5,-19.5,-25.9,9.1,-1.1,5.8,8.6,1.1,-316.5,34.7,-1.5,-1.1,19.6
2020-02-01,0.7,-1.3,-0.6,1.0,0.4,0.3,9.3,-2.7,6.7,37.3,1.2,-0.2,3.1,2.9,4.1,8.5,2.2,-0.9,-0.1,7.6
2020-03-01,-10.3,-5.7,-0.7,-1.9,3.5,1.4,-35.4,0.2,52.8,2.6,-16.4,-3.0,-14.8,-14.9,-21.9,-137.7,-27.2,-1.0,-1.2,-21.4
2020-04-01,-16.4,-14.5,-11.5,-0.3,2.2,-11.8,-46.6,-7.0,-34.4,-31.9,-18.9,-9.8,-20.0,-14.9,-55.3,-88.2,-0.5,-9.4,-7.0,-8.6
2020-05-01,6.9,5.9,3.4,0.0,-2.3,2.6,48.5,1.8,2.5,18.0,11.6,3.6,11.9,11.9,30.0,-1018.2,14.7,1.8,3.5,15.3
2020-06-01,7.8,10.3,3.2,0.5,-0.7,1.9,20.3,-2.7,-13.1,-6.2,10.4,5.2,8.9,-3.0,93.8,-240.2,-18.3,4.1,5.9,-15.9
2020-07-01,2.4,4.0,2.0,0.8,8.9,6.8,34.6,-0.8,43.8,8.5,11.7,2.9,11.5,9.7,20.3,-99.0,18.3,1.8,3.1,16.2
2020-08-01,6.3,-1.2,1.5,1.2,1.6,-1.4,3.5,3.4,-14.5,2.5,1.9,1.2,2.0,3.8,-3.8,-4587.5,8.0,1.2,1.6,6.9
2020-09-01,7.5,5.9,2.3,-0.2,0.1,1.3,-4.4,1.5,-36.8,-26.4,2.5,2.7,0.3,-0.2,1.2,5.2,3.4,2.4,0.7,-2.4
2020-10-01,1.1,-0.2,1.2,4.2,6.9,0.7,6.8,1.9,35.5,29.4,1.9,1.6,3.2,5.2,-2.7,97.0,6.0,1.1,2.2,9.4
2020-11-01,5.5,-0.4,-0.7,-0.9,-2.4,1.2,-0.7,4.5,-3.3,-5.1,0.5,0.7,0.2,-0.2,1.7,-13.8,-1.3,0.0,1.3,-2.0
2020-12-01,5.8,3.5,5.7,0.7,0.6,4.9,-3.7,-1.4,6.8,-4.4,1.5,3.3,1.1,1.1,0.8,-36.9,-3.3,2.0,1.3,-3.5
2021-01-01,8.5,4.1,-1.6,-4.9,1.6,2.3,11.8,2.9,31.4,12.5,4.1,1.5,4.7,6.2,1.1,106.4,8.5,2.0,1.8,9.2
2021-02-01,2.3,1.2,3.0,1.0,2.6,1.4,-0.1,-1.1,-7.8,-7.8,1.0,1.0,0.7,3.0,-6.7,54.4,6.8,0.5,-1.4,4.3
2021-03-01,-7.4,5.2,3.2,-0.7,3.0,-3.0,0.5,0.4,-5.4,11.8,0.5,1.2,1.0,0.7,1.1,-13.3,-0.9,2.0,3.4,1.1
2021-04-01,5.1,2.0,1.5,1.4,0.6,2.6,-6.6,3.1,-28.9,-24.5,0.9,2.1,-0.7,0.5,-7.1,17.8,4.9,2.3,1.6,0.0
2021-05-01,7.7,-6.6,-0.4,-0.3,1.8,1.8,1.3,-2.7,10.5,-1.2,0.4,-0.1,0.3,-0.1,2.3,-2.5,-2.9,-2.5,1.2,-2.7
2021-06-01,2.0,3.0,0.8,0.3,5.4,0.8,-1.3,-1.8,-9.9,8.2,0.3,1.2,0.4,0.8,-0.2,-7.2,0.6,2.4,0.2,1.6
2021-07-01,5.6,-2.3,2.7,-0.7,-2.4,-1.5,4.3,2.1,22.6,3.7,1.4,0.7,1.8,0.5,7.6,-14.6,-2.2,0.3,0.3,-1.4
2021-08-01,2.8,4.5,0.0,3.1,1.0,0.8,4.5,-1.1,-22.2,-13.6,3.5,1.7,2.5,4.8,-2.9,69.7,10.8,1.1,-0.2,7.3
2021-09-01,0.9,0.1,-0.2,-1.8,-4.8,1.3,-11.3,-0.9,50.7,12.3,-4.4,0.2,-3.4,-4.3,-4.8,-51.1,-11.3,-0.1,0.9,-8.6
2021-10-01,1.5,-0.6,2.2,0.3,9.4,1.5,7.6,-0.6,-8.6,-3.4,3.2,0.6,2.6,2.5,7.4,31.5,5.4,1.7,-0.4,4.1
2021-11-01,-1.3,-0.8,-0.3,4.3,9.9,2.2,5.1,0.1,-17.5,-5.9,2.7,1.0,2.2,2.2,1.2,43.2,7.0,0.3,2.7,5.3
2021-12-01,8.3,5.1,1.4,-0.4,-0.5,0.3,-1.7,1.8,46.1,-0.7,0.7,2.6,1.2,0.8,1.8,-29.1,-5.9,1.4,0.6,-5.3
2022-01-01,-4.9,-2.7,-0.8,1.1,-8.5,-2.5,12.8,-1.9,-54.3,3.8,3.7,-1.4,2.9,4.1,0.1,102.9,16.5,-0.7,0.5,14.9
2022-02-01,-1.4,0.3,0.6,-0.1,-2.5,0.1,-4.3,5.7,83.0,11.7,-1.9,0.3,-1.2,-2.0,0.8,-26.0,-6.4,0.6,1.4,-4.4
2022-03-01,3.5,-0.3,0.7,0.3,3.9,4.0,-2.4,1.2,-19.9,-3.1,0.1,0.9,-0.2,-1.3,4.3,-23.5,-3.7,1.3,0.1,-3.6
2022-04-01,-0.1,-0.2,0.2,0.9,1.3,-0.6,2.1,-0.2,-22.0,-14.7,1.4,0.1,0.7,0.9,0.6,27.0,3.7,-0.2,0.1,1.3
2022-05-01,1.5,-0.7,0.7,0.6,2.5,-1.1,-2.3,0.4,41.5,12.5,-1.1,0.3,-0.5,-0.6,-0.4,-21.7,-3.5,0.6,0.2,-1.7
2022-06-01,-0.9,-0.3,0.2,0.0,-5.8,1.5,0.9,5.4,105.8,0.4,-1.5,-0.1,0.2,-0.1,0.5,-32.3,-4.5,0.7,0.0,-3.9
2022-07-01,-3.7,1.2,-0.2,1.8,0.1,-0.8,5.4,5.0,-54.3,8.6,3.0,-0.3,1.5,2.1,0.7,86.1,9.8,0.2,-0.4,9.6
2022-08-01,-2.8,-0.9,1.2,0.1,3.3,2.1,0.5,-1.3,48.2,17.1,-0.7,-0.1,0.1,0.2,0.4,-12.7,-1.5,1.3,0.4,1.0
2022-09-01,3.9,-1.2,-1.4,-1.4,-8.2,-1.9,-4.4,1.8,-49.2,-20.2,-0.6,-0.4,-1.7,-3.3,1.4,-12.0,-3.4,-1.6,-0.3,-5.9
2022-10-01,-1.4,0.2,1.1,-0.7,4.1,1.1,8.6,3.8,39.7,-0.6,2.8,0.1,2.8,4.1,1.3,52.5,8.6,0.6,0.2,7.4
2022-11-01,-1.8,-0.4,0.6,0.3,-2.4,-3.2,-6.0,-1.5,-5.5,11.3,-2.9,-0.5,-2.3,-3.2,0.3,-35.5,-8.0,-0.7,-0.3,-5.7
2022-12-01,0.6,-0.2,-1.9,0.1,2.8,3.5,5.8,2.0,30.1,14.8,1.5,0.2,2.0,2.5,0.5,23.7,4.1,0.4,1.0,5.6
2023-01-01,1.3,0.4,0.4,-0.5,1.2,3.6,1.2,2.9,3.0,-5.9,1.1,0.6,0.8,0.8,1.3,6.1,1.7,1.2,0.3,0.5
2023-02-01,0.1,-0.3,-0.3,1.0,-1.9,0.0,-6.5,-4.6,-17.0,-8.2,-2.1,-0.2,-2.3,-2.8,-0.2,-30.1,-6.5,-0.5,-0.9,-6.7
2023-03-01,0.7,0.7,-0.3,1.7,0.2,1.4,6.3,8.4,22.7,2.3,2.4,0.4,2.3,3.4,-0.8,55.4,7.1,-0.5,-0.4,6.4
2023-04-01,-1.3,-0.3,0.3,-1.1,-1.9,-2.2,7.4,0.1,28.1,40.8,0.3,-0.5,2.2,3.1,-0.3,9.5,2.7,0.9,-0.1,7.9
2023-05-01,1.2,-0.2,1.0,0.1,-2.8,0.1,-0.3,-2.5,-31.9,-24.6,2.0,0.4,0.2,-0.5,1.3,19.3,4.1,0.0,0.4,-1.0
2023-06-01,0.7,0.9,-1.1,2.1,2.3,1.7,6.7,5.3,10.8,-10.4,3.1,0.4,2.6,3.9,0.0,33.8,8.4,0.1,-0.1,5.8
2023-07-01,-0.4,0.7,0.3,-0.9,2.0,0.1,-8.1,-6.4,-13.6,-4.5,-2.9,-0.1,-3.1,-4.5,1.1,-26.0,-8.9,-0.9,-0.5,-8.4
2023-08-01,-1.5,0.9,1.1,0.1,-1.8,-0.3,-1.0,5.2,15.0,8.8,-0.6,0.3,-0.2,-0.3,0.0,-11.6,-2.1,0.9,0.4,-0.8
2023-09-01,0.4,0.4,0.2,1.3,7.8,0.5,5.0,-0.4,-13.3,-12.9,2.8,0.3,2.0,3.2,-1.2,39.8,9.1,0.3,-0.1,6.2
2023-10-01,-0.5,1.0,-1.6,-0.2,-4.6,-1.8,-10.9,1.2,1.7,32.9,-5.6,-0.3,-4.1,-4.0,-6.0,-37.2,-11.0,-1.0,0.3,-6.3
2023-11-01,0.0,-0.7,-0.2,0.1,1.3,0.5,23.4,1.6,3.7,-11.3,8.9,0.0,7.7,9.8,3.6,119.0,24.6,0.4,0.5,19.2
2023-12-01,1.7,0.7,0.3,1.1,11.8,1.8,-12.7,-1.1,-10.1,-19.4,-3.8,0.6,-4.4,-6.0,0.4,-32.0,-11.0,0.6,-0.2,-12.0
2024-01-01,-1.8,-1.4,-0.9,0.0,-15.0,1.8,-9.4,5.7,-3.4,23.2,-4.9,-0.8,-3.8,-5.3,0.5,-45.9,-13.2,-0.6,-0.9,-9.5
2024-02-01,0.1,0.6,1.7,-1.2,-1.9,-2.0,2.9,5.2,13.8,-7.1,1.7,0.4,1.2,0.9,1.2,17.7,3.5,0.5,1.0,2.0
2024-03-01,0.5,-0.3,-0.4,0.4,1.0,-1.8,2.5,-4.8,-15.7,-7.1,1.1,-0.1,0.8,0.3,2.8,7.7,1.2,-0.2,0.4,0.2
2024-04-01,1.2,0.2,0.4,0.6,2.8,0.9,-0.1,3.0,6.7,14.3,-0.5,0.4,0.2,-0.1,1.5,-14.7,-2.9,0.2,-0.1,-0.8
2024-05-01,-0.3,0.0,-0.7,0.5,1.2,-0.1,0.6,0.7,15.0,2.1,-0.1,-0.2,0.1,0.1,0.0,2.0,-0.4,-0.9,-0.1,0.0
2024-06-01,-0.5,0.0,1.1,0.3,2.3,0.7,-20.6,-2.1,-4.8,7.7,-7.5,0.1,-6.9,-9.3,-0.8,-126.9,-22.8,0.6,-0.5,-18.5
2024-07-01,-0.8,0.6,-0.1,-0.4,-2.1,-0.4,34.6,2.9,14.8,2.4,10.3,-0.1,9.9,15.5,-3.5,-663.8,42.1,-0.2,-0.1,34.7
2024-08-01,0.2,0.6,0.5,0.4,-0.7,1.9,-0.8,-0.3,8.4,5.3,-0.2,0.5,0.0,-0.4,0.2,-7.5,-1.3,0.2,0.2,-0.4
