time,31S,32S,33S,34S,34X,35S,36S,CRP,DAP,DEF,DXD,DXT,MDM,MTU,MVP,NAP,NDE,NXA,ODG,TCG
2020-01-01,-2.7,0.4,-0.2,0.0,-1.3,-0.6,0.9,-1.9,1.2,0.9,0.0,-0.4,0.0,0.1,-0.6,1.8,0.3,-0.4,-0.2,0.4
2020-02-01,-1.0,-0.5,-0.4,0.0,-0.6,-0.7,0.5,-0.5,0.8,-0.1,-0.2,-0.5,-0.1,0.0,-0.2,0.9,0.0,-0.4,-0.6,0.0
2020-03-01,0.5,-0.4,0.2,0.6,2.2,-0.9,0.3,-0.5,0.0,-0.4,0.2,0.1,0.2,0.3,-1.3,1.3,0.6,0.3,0.2,0.5
2020-04-01,-1.6,0.2,0.0,0.5,-2.0,1.0,0.0,0.9,1.2,0.7,0.0,0.1,0.1,0.2,-1.0,0.3,0.3,0.5,0.5,0.4
2020-05-01,-2.8,-0.8,-0.5,0.3,-0.4,-1.2,0.8,4.4,1.0,-0.1,-0.3,-0.8,-0.3,-0.2,0.0,1.5,0.3,-0.2,-0.9,0.2
2020-06-01,-3.0,-1.6,-1.0,-0.1,-1.3,0.1,1.6,-1.1,1.3,1.0,-0.2,-1.0,-0.1,-0.2,0.0,2.5,0.5,-0.6,-0.5,0.5
2020-07-01,-3.0,-1.9,-0.6,0.0,-0.7,-0.5,0.3,0.2,-0.5,-0.7,-0.6,-1.0,-0.6,-0.6,-1.4,1.3,0.3,-0.3,-0.5,0.2
2020-08-01,1.2,-0.7,-0.6,-0.6,-0.4,-0.4,0.1,-0.8,1.3,1.0,-0.2,-0.3,-0.1,0.0,-1.0,0.3,-0.2,-0.3,0.1,-0.1
2020-09-01,-1.7,-0.4,-0.3,-0.4,0.1,0.1,0.5,-0.7,0.4,1.0,-0.2,-0.4,-0.1,-0.1,-0.9,1.0,0.1,-0.5,0.0,0.2
2020-10-01,0.7,-0.2,-0.2,0.2,-1.8,-0.6,0.5,1.1,0.5,-0.4,0.2,0.1,0.2,0.1,0.9,0.3,-0.1,-0.2,0.5,-0.1
2020-11-01,0.4,0.3,0.4,0.1,-0.8,-0.1,1.8,0.6,-0.3,-1.4,0.9,0.3,0.8,0.7,3.2,1.8,0.8,0.2,0.3,0.6
2020-12-01,1.2,0.5,0.2,0.0,-2.5,-0.2,-1.5,1.6,0.7,0.2,-0.4,0.4,-0.3,-0.3,-1.4,-2.4,-1.1,0.1,0.4,-1.0
2021-01-01,3.4,1.3,0.7,0.7,1.9,0.9,-1.0,1.0,1.5,1.2,0.4,1.2,0.5,0.3,1.9,-2.9,-0.6,0.9,1.1,-0.4
2021-02-01,3.5,1.7,1.1,0.6,0.5,1.1,1.2,1.0,0.3,1.3,1.4,1.5,1.4,1.2,3.4,0.1,0.6,1.0,1.4,0.7
2021-03-01,-4.0,2.1,0.4,0.6,-0.5,2.0,1.3,1.9,-1.0,0.3,0.8,0.4,0.7,0.5,3.9,0.4,0.5,0.5,0.9,0.4
2021-04-01,0.9,2.0,0.9,0.4,0.1,0.8,0.4,1.1,0.6,0.5,0.8,1.0,0.8,0.7,2.8,-1.0,0.3,1.0,1.0,0.3
2021-05-01,3.8,2.3,1.4,1.2,2.0,1.5,0.6,0.1,0.4,0.5,1.4,1.7,1.3,1.3,2.1,-0.3,0.8,1.4,1.1,0.8
2021-06-01,4.4,1.6,1.1,1.5,1.5,1.9,0.7,-0.2,0.1,-0.9,1.6,1.8,1.4,1.5,2.4,0.1,1.1,1.1,1.7,0.9
2021-07-01,4.3,1.8,1.1,0.5,1.1,2.3,0.7,-0.2,0.5,1.5,1.3,1.6,1.3,1.3,1.8,-0.2,0.6,1.0,0.9,0.7
